岗位名称,工作地址,学历要求,工作经验,工作标签,企业名称,企业规模,企业福利,实习生,最低薪资,最高薪资
C++软件工程师,济南,本科,3-5年,"架构师,软件工程师,QT,ARM开发,计算机软件,机器人",翼菲智能,500-999人,无,0,11000,22000
C++高级开发工程师,济南,本科,1-3年,"Python,多线程,QT,嵌入式技术,算法基础,图形图像处理",和普威视,100-499人,无,0,11000,20000
LINUX内核开发工程师,济南,本科,3-5年,"C++,C,Linux开发,部署经验,linux kernel,linux内核",文德数字科技有限...,100-499人,"带薪年假,五险一金,定期体检,节日福利",0,13000,15000
嵌入式LINUX开发工程师,济南,本科,经验不限,"C++,C语言",创意银航(山东)...,100-499人,"带薪年假,股票期权,员工旅游,交通补助,餐补,节日福利,补充医疗保险,五险一金,零食下午茶,有无线网,定期体检,加班补助,团建聚餐,年终奖",0,8000,12000
C++开发工程师,济南,大专,1-3年,C++,山东智和创,100-499人,"年终奖,有无线网,团建聚餐,五险一金,绩效奖金,带薪年假,加班补助,工龄奖,定期体检,节日福利,生日福利",0,10000,13000
C++开发工程师,济南,本科,1-3年,"C,C++,STL,QT,不限,不限,桌面端开发,地理信息",智图云起,20-99人,"加班补助,节日福利,定期体检,年终奖,餐补,五险一金,带薪年假,生日福利,13薪",0,8000,13000
嵌入式LINUX开发工程师,济南,本科,1-3年,"C语言,C++,嵌入式开发经验,计算机相关专业,linux",鲁科,100-499人,"五险一金,餐补,加班补助,零食下午茶,年终奖,带薪年假,全勤奖,节日福利",0,11000,22000
校园招聘-AI软件开发工程师,济南,本科,在校/应届,"驱动开发,ARM开发",国科微电子,500-999人,"零食下午茶,五险一金,免费班车,全勤奖,定期体检,员工旅游,带薪年假,包吃,补充医疗保险",0,10000,15000
C/C++软件开发工程师,济南,本科,1-3年,"C++,QT,C语言,架构师",梅格彤天,,"补充医疗保险,加班补助,定期体检,节日福利,全勤奖,员工旅游,年终奖,交通补助,通讯补贴,五险一金,包吃",0,10000,15000
C++开发人驻场济南2+23090808,济南,本科,1-3年,"C++,计算机相关专业,Qt项目开发经验,需求分析、设计",奔腾时代电力,20-99人,"住房补贴,餐补,五险一金,带薪年假,节日福利,年终奖,交通补助,加班补助,节假日福利,定期体检,补充医疗保险,员工旅游,季度福利,13薪",0,6000,11000
C初级研发工程师,济南,本科,1-3年,"C语言,C++,C语言开发经验",金科联信,20-99人,"补充医疗保险,带薪年假,五险一金,餐补,年终奖,通讯补贴,节日福利,零食下午茶",0,7000,12000
C++技术工程师,济南,大专,经验不限,"Python,VC++,后端开发,网络协议,网络爬虫技术",瓦特机器人俱乐部,20-99人,"工龄奖,全勤奖,法定节假日三薪,企业年金,员工旅游,年终奖,底薪加提成,意外险,股票期权,保底工资,五险,零食下午茶,免费工装,团建聚餐,生日福利,节日福利,加班补助,补充医疗保险,绩效奖金",0,6000,7000
C/C++/COBOL工程师,济南,本科,1-3年,"C++,C语言,计算机相关专业,Qt项目开发经验",联信科技,100-499人,"带薪年假,定期体检,五险一金,年终奖,餐补,13薪",0,12000,24000
LINUX软件工程师,济南,本科,3-5年,"嵌入式技术,网络编程,Linux,驱动开发,软件工程师",航芯院,100-499人,"零食下午茶,员工旅游,年终奖,带薪年假,免费工装,通讯补贴,意外险,有无线网,团建聚餐,交通补助,宿舍有空调,定期体检,五险一金,餐补,高温补贴,节日福利,生日福利",0,10000,15000
C/C++软件开发工程师,济南,本科,经验不限,"C语言,Linux,嵌入式技术,网络协议,网络交换技术",华辰泰尔,100-499人,"交通补助,五险一金,加班补助,年终奖,员工旅游,节日福利,通讯补贴,餐补,股票期权,定期体检,住房补贴,带薪年假,13薪",0,10000,15000
软件开发工程师,济南,本科,经验不限,"C++,Java,Python,计算机相关专业",华为技术有限公司,10000人以上,"通讯补贴,零食下午茶,餐补,股票期权,加班补助,带薪年假,全勤奖,员工旅游,年终奖,住房补贴,节日福利,离职补偿,交通补助,定期体检,免费班车,补充医疗保险,五险一金",0,12000,22000
软件开发工程师,济南,本科,1-3年,"C++,C语言,Python",欧锐激光,500-999人,"全勤奖,底薪加提成,免费班车,节日福利,生日福利,免费工装,团建聚餐,保底工资,通讯补贴,宿舍有空调,员工旅游,有无线网,包住,交通补助,绩效奖金,五险一金",0,10000,15000
C++软件工程师,济南,本科,在校/应届,"Python,STL,软件工程师,Linux,C++,Tcl,ASIC",启芯软件,0-20人,"员工旅游,定期体检,零食下午茶,五险一金,节日福利,带薪年假,股票期权,13薪",0,10000,15000
C++,济南,大专,5-10年,"C++,Python,C语言,计算机相关专业,C++服务端开发经验",鲁飞科技,20-99人,无,0,8000,13000
C++,济南,本科,1-3年,"C语言,Qt项目开发经验,Linux开发,部署经验,分布式技术",智洋创新,500-999人,"餐补,年终奖,五险一金,股票期权,节日福利,员工旅游",0,11000,20000
C/C++高级研发工程师,济南,大专,5-10年,"网络协议,多线程,网络编程,Socket技术,Linux,C#,c",云天安全,100-499人,"全勤奖,年终奖,定期体检,住房补贴,股票期权,电脑补贴,生日福利,零食下午茶,员工旅游,五险一金,带薪年假,节日福利,年资奖,法定节假日三薪,绩效奖金,团建聚餐,加班补助,意外险,工龄奖,夜班补助",0,13000,20000
嵌入式开发工程师,济南,大专,经验不限,"C++,C语言,Java,C++服务端开发经验",人瑞集团,500-999人,"法定节假日三薪,股票期权,保底工资,五险一金,加班补助,团建聚餐,绩效奖金,通讯补贴,节假日加班费,带薪年假",0,10000,15000
C++/C开发工程师,济南,本科,3-5年,"C++,C语言",上海瑞应人才科技,500-999人,"五险一金,带薪年假,年终奖",0,12000,18000
C++工程师—莱芜区,济南,大专,3-5年,"C++,TCL,Socket技术,网络协议,网络编程,流媒体技术",池源科技,100-499人,"五险一金,全勤奖,意外险,节日福利,带薪年假,股票期权",0,9000,14000
LINUXKERNEL系统开发,济南,大专,3-5年,"C,C++,Linux开发,部署经验,linux kernel",法本,10000人以上,"定期体检,年终奖,加班补助,零食下午茶,带薪年假,员工旅游,节日福利,企业文化,五险一金,全勤奖",0,10000,15000
C＋＋开发工程师,济南,本科,3-5年,"SQL Server,VC++,软件工程师",济南微纳颗粒,20-99人,"年终奖,员工旅游,餐补,有无线网,带薪年假,底薪加提成,高温补贴,五险一金,13薪",0,10000,15000
C++,济南,本科,1-3年,"C++,Linux开发,部署经验",特美,20-99人,"节日福利,团建聚餐,定期体检,带薪年假,年终奖,加班补助,五险一金",0,10000,11000
C++,济南,本科,1-3年,"C++,QT,嵌入式软件经验,Linux开发,部署经验",矩源科技,20-99人,"五险一金,带薪年假,定期体检,年终奖,加班补助,员工旅游,节日福利",0,8000,13000
C++工程师,乌鲁木齐,本科,3-5年,"C++,C,MySQL,分布式经验",捷科智诚,10000人以上,"补充医疗保险,出差,股票期权,加班补助,年终奖,带薪年假,节日福利,定期体检,员工旅游,住房补贴,零食下午茶,五险一金",0,11000,18000
软件开发工程师-C++,乌鲁木齐,大专,3-5年,C++,赛昂科技,100-499人,"节日福利,工龄奖,带薪年假,全勤奖,五险",0,10000,14000
C语言,乌鲁木齐,本科,1-3年,"C语言,MySQL,银行,DB2,Oracle",宇信科技,1000-9999人,"节日福利,五险一金,定期体检,餐补,带薪年假,年终奖,免费班车,通讯补贴,补充医疗保险,司龄福利假期",0,10000,15000
C++培训讲师,乌鲁木齐,大专,经验不限,"C++,C语言,青少年儿童机器人编程,计算机相关专业",乌鲁木齐同彩未来...,0-20人,无,0,5000,10000
LINUXC开发工程师,乌鲁木齐,本科,3-5年,"C++,C语言,计算机相关专业,C++服务端开发经验",星辰华盛网络,20-99人,无,0,10000,15000
C语言开发工程师,乌鲁木齐,本科,5-10年,"C++,C语言,C++服务端开发经验,计算机相关专业",天阳科技,1000-9999人,"五险一金,双休,带薪年假,节日福利,餐补",0,13000,16000
QT开发工程师,乌鲁木齐,本科,1年以内,"C++,C语言,Java,计算机相关专业,C++服务端开发经验",荣耀九天,0-20人,"公积金,五险一金,员工宿舍,五险",0,6000,9000
C++开发工程师,乌鲁木齐,本科,经验不限,"C++,C#,MySQL",西信科技,100-499人,"加班补助,补充医疗保险,定期体检,带薪年假,通讯补贴,零食下午茶,员工旅游,五险一金,免费班车,节日福利",0,12000,17000
中级C++开发工程师,乌鲁木齐,大专,3-5年,"C++,STL,OpenGL,嵌入式软件经验,上位机开发经验",乌鲁木齐市米东区...,0-20人,"无,13薪",0,10000,12000
LINUXC开发工程师,乌鲁木齐,本科,3-5年,"高级软件工程师,Oracle,Linux",国开信息,100-499人,"补充医疗保险,股票期权,全勤奖,通讯补贴,餐补,年终奖,定期体检,员工旅游,五险一金,交通补助,带薪年假",0,10000,15000
C语言开发工程师,乌鲁木齐,本科,3-5年,"C++,Socket,清算,银联清算",新疆乾元大通信息科技,20-99人,"生日福利,定期体检,五险一金,补充医疗保险,餐补,电脑补贴,带薪年假,法定节假日三薪",0,9000,13000
技术支持工程师,乌鲁木齐,大专,经验不限,"C++,Java,计算机相关专业,C++服务端开发经验",智业软件,1000-9999人,"带薪年假,定期体检,年终奖,节日福利,五险一金,13薪",0,4000,9000
C++工程师,乌鲁木齐,本科,1-3年,"C++,C语言,Java,计算机相关专业,C++服务端开发经验",国电南瑞,100-499人,无,0,8000,13000
C++开发工程师,乌鲁木齐,本科,3-5年,"音视频编解码,流媒体技术,分布式技术,网络协议,架构师",中通服公众信息,100-499人,"员工旅游,定期体检,五险一金,带薪年假,交通补助,餐补,绩效奖金,节日福利,通讯补贴,15薪",0,10000,15000
C语言开发工程师~三年以上工作经验,乌鲁木齐,本科,3-5年,"中级软件工程师,初级软件工程师",乾元大通软件,100-499人,"五险一金,带薪年假,员工旅游,节日福利,定期体检",0,10000,15000
银行软件研发人员1,乌鲁木齐,本科,1-3年,Oracle,昭融电子,500-999人,五险一金,0,8000,10000
软件开发工程师,乌鲁木齐,本科,经验不限,"嵌入式技术,C,C++,软件开发工程师",西安华为,10000人以上,"股票期权,五险一金,补充医疗保险,定期体检,年终奖,节日福利,加班补助,员工旅游,15薪",0,12000,24000
C/C++、PYTHON培训讲师,乌鲁木齐,本科,经验不限,"Python,数据结构,计算机软件",华诚恒通,0-20人,无,0,6000,10000
OD招聘C/C++,乌鲁木齐,本科,经验不限,"数据结构,分布式技术,软件工程师,架构师,c,c++",华为,10000人以上,"节日福利,加班补助,员工旅游,年终奖,补充医疗保险,五险一金,零食下午茶,餐补,股票期权,定期体检,14薪",0,15000,30000
教育培训机构讲师,乌鲁木齐,学历不限,经验不限,"C++,C,Python,QT,MFC,STL",杭州木犸领优科技,0-20人,无,0,3000,8000
C++软件开发,乌鲁木齐,本科,5-10年,"C++,C,MySQL,Oracle,数据库开发经验,核心开发经验",捷科智诚,10000人以上,"五险一金,员工旅游,补充医疗保险,节日福利,零食下午茶,出差,年终奖,股票期权,带薪年假,住房补贴,加班补助,定期体检",0,10000,15000
QT开发工程师,乌鲁木齐,大专,3-5年,"C++,QT",赛昂科技,100-499人,"节日福利,带薪年假,工龄奖,五险,全勤奖",0,13000,18000
C,乌鲁木齐,本科,经验不限,"C语言,C++",宇信科技,1000-9999人,"司龄福利假期,五险一金,年终奖,节日福利,免费班车,餐补,带薪年假,补充医疗保险,通讯补贴,定期体检",0,9000,14000
C语言开发,乌鲁木齐,本科,1-3年,C#,西信科技,100-499人,"五险一金,补充医疗保险,零食下午茶,加班补助,免费班车,员工旅游,定期体检,通讯补贴,带薪年假,节日福利",0,10000,15000
乌鲁木齐银行C开发,乌鲁木齐,本科,1-3年,"C语言,计算机相关专业,C语言开发经验,银行,信贷,linux",宇信科技,1000-9999人,"司龄福利假期,年终奖,餐补,五险一金,通讯补贴,补充医疗保险,带薪年假,节日福利,定期体检,免费班车",0,10000,14000
C++,兰州,本科,5-10年,"多进程,分布式技术,嵌入式技术,网络协议,网络编程",兰州金利达,20-99人,"五险一金,加班补助,年终奖,带薪年假,节日福利,通讯补贴,股票期权",0,10000,15000
C/C++软件工程师,兰州,本科,5-10年,"C++,C++服务端开发经验",瑞奇戈德,20-99人,"全勤奖,餐补,午餐,住房补贴,定期体检,交通补助,五险一金,零食下午茶,免费工装,有无线网,节日福利,年终奖",0,10000,15000
高级软件开发工程师,兰州,本科,经验不限,"C++,C语言,Java,计算机相关专业,C++服务端开发经验",华为技术有限公司,10000人以上,"定期体检,零食下午茶,年终奖,加班补助,节日福利,免费班车,住房补贴,通讯补贴,员工旅游,交通补助,全勤奖,餐补,补充医疗保险,股票期权,带薪年假,五险一金,离职补偿,14薪",0,12000,24000
C++,兰州,本科,1-3年,"C++,C语言,计算机相关专业,C++服务端开发经验",蜂鸟数据,20-99人,"带薪年假,加班补助,绩效奖金,员工旅游,五险一金,团建聚餐,交通补助,节日福利,通讯补贴,补充医疗保险,年终奖,餐补",0,7000,10000
C/C++,兰州,本科,3-5年,"C++,Qt项目开发经验,计算机相关专业",兰州兰石集团有限...,10000人以上,"补充医疗保险,年终奖,住房补贴,五险一金,节日福利,通讯补贴,带薪年假,餐补,交通补助,定期体检,免费班车",0,8000,12000
C++开发工程师,兰州,本科,3-5年,"C++,Java,MFC,MySQL,嵌入式软件经验",丝路梵天,20-99人,"交通补助,通讯补贴,餐补,带薪年假,绩效奖金,五险一金",0,9000,11000
软件工程师,兰州,大专,1-3年,"游戏引擎,Windows,后端开发,软件工程师",点下设计,0-20人,"员工旅游,通讯补贴,全勤奖,加班补助,股票期权,年终奖,五险一金,补充医疗保险,交通补助,13薪",0,4000,8000
软件工程师,兰州,本科,3-5年,"C++,Java,Python,计算机相关专业,C语言开发经验",云映数字,0-20人,"绩效奖金,团建聚餐,生日福利,带薪年假,五险一金",0,6000,10000
C++开发工程师,兰州,本科,1-3年,"软件工程师,MFC,Python,高级软件工程师,SQL Server",安信铁路,20-99人,无,0,5000,6000
软件工程师C/C++/C#,兰州,本科,经验不限,"数据结构,多线程,网络协议,分布式技术,消息队列,QT",科近泰基,100-499人,"年终奖,餐补,提供宿舍,交通补助,定期体检,全勤奖,通勤车,通讯补贴,加班补助,节日福利,带薪年假,五险一金",0,11000,15000
量化开发工程师,兰州,本科,经验不限,"C++,量化",嘉和源,0-20人,"无,15薪",0,6000,11000
软件开发工程师,兰州,本科,在校/应届,"C++,Python,C语言",华为,10000人以上,"零食下午茶,股票期权,节日福利,员工旅游,补充医疗保险,定期体检,餐补,五险一金,年终奖,加班补助,14薪",0,14000,28000
C＋＋开发工程师,兰州,大专,经验不限,"Python,Go,数据结构,后端开发,Unix,NoSQL,Redis",甘肃森讯,20-99人,"五险一金,年终奖,全勤奖,带薪年假,节日福利",0,5000,6000
软件开发工程师,兰州,本科,经验不限,"嵌入式技术,C,C++,软件开发工程师",西安华为,10000人以上,"股票期权,定期体检,员工旅游,节日福利,补充医疗保险,加班补助,年终奖,五险一金,15薪",0,12000,24000
后端开发,兰州,本科,3-5年,"C++,计算机相关专业,C++服务端开发经验",邦桀科技,0-20人,五险一金,0,10000,15000
虚幻4开发工程师,兰州,大专,3-5年,"游戏引擎,架构师,计算机软件,智能硬件,动画动漫",兰州乾元,20-99人,"交通补助,股票期权,五险一金,带薪年假,餐补,节日福利,全勤奖,加班补助,通讯补贴,年终奖,补充医疗保险,员工旅游",0,6000,10000
C++工程师,兰州,本科,5-10年,"Android,移动端",甘肃易复诊,20-99人,无,0,8000,9000
软件开发工程师,兰州,本科,3-5年,"C语言,Qt项目开发经验,Linux开发,部署经验",安徽省安泰科技股...,500-999人,"通讯补贴,定期体检,五险一金,节日福利,交通补助,带薪年假,年终奖,餐补",0,7000,10000
JAVA/PYTHON/C/C++/JS工程师,兰州,本科,1-3年,"C++,Java,Python,C语言开发经验,计算机相关专业",华为技术有限公司,10000人以上,"全勤奖,零食下午茶,员工旅游,补充医疗保险,交通补助,年终奖,带薪年假,股票期权,定期体检,餐补,免费班车,五险一金,离职补偿,住房补贴,节日福利,加班补助,通讯补贴,14薪",0,15000,30000
C++开发,兰州,大专,3-5年,"C++,JavaScript,HTML,Windows,计算机软件",伟诚信息,20-99人,"五险一金,员工旅游,节日福利",0,8000,9000
高薪聘请高级UNIX/C开发工程师,兰州,大专,在校/应届,"网络协议,网络编程,C语言,嵌入式技术,Linux",萃英科技,20-99人,"五险一金,交通补助,年终奖",0,3000,6000
通信领域C++开发工程师,兰州,本科,1-3年,C++,信息港研究院,20-99人,无,0,8000,9000
C/C++，JAVA，JS，PYTHON，GO开发/测试,兰州,本科,经验不限,"C++,C语言,Java",华为云计算,10000人以上,"交通补助,加班补助,意外险,零食下午茶,绩效奖金,定期体检,年终奖,员工旅游,夜班补助,免费班车,保底工资,法定节假日三薪,带薪年假,五险一金,团建聚餐,节假日加班费,补充医疗保险,15薪",0,15000,30000
C++研发工程师,兰州,本科,3-5年,C++,启远科技,0-20人,"节日福利,专业培训,加班补助,全勤奖,年终奖,带薪年假,员工旅游,员工活动,餐补,定期体检,五险一金,交通补助,节日福利",0,10000,12000
飞控软件工程师,兰州,本科,3-5年,"QT,c++,高级软件工程师,中级软件工程师,软件工程师",天域航通,,"补充医疗保险,零食下午茶,带薪年假,员工旅游,节日福利,交通补助,宿舍有空调,生日福利,五险一金,包住,培训,免费班车,团建聚餐,有无线网,住宿,餐补",0,15000,20000
程序员,兰州,学历不限,在校/应届,"C++,Linux开发,部署经验,Python",兰州至道量化,0-20人,无,0,3000,8000
游戏开发工程师,兰州,本科,1年以内,游戏开发,天奕软件,20-99人,"年终奖,加班补助,全勤奖,员工旅游,通讯补贴,节日福利,零食下午茶",0,3000,5000
QT开发工程师,银川,本科,3-5年,"C++,QT",博强,0-20人,"节日福利,全勤奖,补充医疗保险,年终奖,员工旅游,交通补助",0,5000,9000
C++开发工程师,银川,本科,经验不限,"计算机相关专业,C++服务端开发经验,Qt项目开发经验",西部安全认证中心,20-99人,"节日福利,定期体检,年终奖,五险一金,带薪年假",0,6000,10000
C++,银川,本科,1年以内,"C++,C语言,Python,计算机相关专业,C++服务端开发经验",尊雨教育,20-99人,"生日福利,有无线网,高温补贴,通讯补贴,保底工资,加班补助,交通补助,员工旅游,绩效奖金,团建聚餐,五险一金,节日福利,年终奖,带薪年假",0,7000,12000
软件工程师,银川,本科,1-3年,"C语言,C++,计算机相关专业,软件开发",网信创安,20-99人,"餐补,定期体检,补充医疗保险,年终奖,节日福利,交通补助,五险一金,通讯补贴,员工旅游,带薪年假",0,5000,10000
LUA脚本开发工程师,银川,大专,经验不限,"C++,Java,Delphi,C++服务端开发经验",湖北趣尚互娱网络科技,20-99人,无,0,3000,6000
C++软件工程师,银川,本科,3-5年,"C,C++,线程编程技术,socket",卫士智能科技,0-20人,无,0,10000,12000
嵌入式软件工程师,银川,本科,1年以内,"Linux,单片机开发,软件工程师,物联网",华信智,20-99人,"交通补助,员工旅游,餐补,补充医疗保险,节日福利,五险一金,年终奖,带薪年假",0,3000,8000
C++,银川,本科,1-3年,"Python,Go,Shell,SQL",逸拍卖,0-20人,"餐补,交通补助,五险一金",0,15000,20000
C++工程师,银川,本科,经验不限,"C++,计算机相关专业,C++服务端开发经验,Qt项目开发经验",西部安全认证中心,20-99人,"五险一金,节日福利,带薪年假,年终奖,定期体检",0,6000,10000
后端开发,银川,学历不限,经验不限,"Python,Go,Shell,SQL,Lua,数据结构,网络协议",逸拍卖,0-20人,"五险一金,餐补,交通补助",0,10000,11000
C++软件工程师,郑州,本科,3-5年,"Linux,c++",德朗智能科技,100-499人,"节日福利,工龄奖,生日福利,餐补,绩效奖金,全勤奖,免费工装,员工旅游,定期体检,年终奖,团建聚餐",0,8000,13000
C++工程师,郑州,本科,3-5年,C++,京硕信息科技,100-499人,"节假日加班费,有无线网,团建聚餐,带薪年假,加班补助,节日福利,全勤奖",0,10000,15000
C++开发,郑州,本科,5-10年,Linux,蓝信科技,100-499人,"包吃,绩效奖金,意外险,定期体检,带薪年假,交通补助,五险一金,年终奖",0,12000,18000
C语言开发工程师,郑州,本科,3-5年,"C语言,linux,通信协议",戎磐,100-499人,"零食下午茶,生日福利,全勤奖,加班补助,季度团建,家庭福利,带薪年假,绩效奖金,团建聚餐,定期体检,年终奖,工龄奖,生日福利,五险一金,股票期权,额外假期,员工旅游,节日福利,13薪",0,10000,15000
QTC++软件工程师,郑州,大专,1-3年,"C++,QT,Linux开发,部署经验,不限,C++",华威天立,20-99人,"绩效奖金,保底工资,加班补助,底薪加提成,五险一金,夜班补助,节假日加班费",0,6000,8000
C++软件工程师,郑州,本科,1-3年,"C++,Redis,MySQL,Linux",中原动力,100-499人,"加班补助,交通补助,带薪年假,员工旅游,节日福利,五险一金,零食下午茶,通讯补贴,餐补,年终奖",0,8000,12000
软件编程工程师,郑州,本科,3-5年,"Java,C++,Python,计算机相关专业,C++服务端开发经验",天云聚合,20-99人,"团建聚餐,绩效奖金,带薪年假,节日福利,交通补助",0,9000,14000
嵌入式工程师,郑州,本科,经验不限,"C++,C语言,Linux开发,部署经验,嵌入式,单片机",云蓬科技,100-499人,"节日福利,意外险,保底工资,五险一金,团建聚餐,带薪年假,股票期权,底薪加提成,加班补助,节假日加班费,年终奖,有无线网,员工旅游,工龄奖,零食下午茶,定期体检,包住,生日福利,宿舍有空调,夜班补助",0,8000,12000
C++开发工程师,郑州,本科,3-5年,C++,捷安高科,100-499人,"年终奖,带薪年假,全勤奖,五险一金,定期体检,住房补贴",0,8000,13000
QT研发工程师,郑州,本科,3-5年,"C++,QT,架构设计经验,Linux开发,部署经验",中科信利,100-499人,"五险一金,年终奖,生日福利,员工旅游,定期体检,节日福利,带薪年假",0,11000,18000
C++软件开发工程师,郑州,本科,1-3年,"Qt项目开发经验,C++",北京国遥,1000-9999人,"五险一金,节日福利,年终奖,定期体检,员工旅游,带薪年假",0,12000,17000
C++工程师,郑州,本科,1-3年,"C++,QT",畅想高科,100-499人,"五险一金,定期体检,全勤奖,年终奖,员工旅游,交通补助,包吃,节日福利,13薪",0,8000,12000
C/C++-QT,郑州,大专,3-5年,QT,法本,10000人以上,"五险一金,定期体检,加班补助,全勤奖,年终奖,企业文化,带薪年假,节日福利,零食下午茶,员工旅游",0,12000,14000
高级软件工程师,郑州,本科,3-5年,"Linux,音视频编解码,嵌入式技术,图形图像处理",九泰科技,20-99人,"节日福利,交通补助,带薪年假,加班补助,通讯补贴,员工旅游,补充医疗保险,五险一金",0,5000,10000
C++开发工程师,郑州,本科,1-3年,"C++,C语言,音视频编解码,嵌入式技术",格尔软件,500-999人,"定期体检,年终奖,五险一金,带薪年假,节日福利",0,10000,11000
C++高级软件工程师,郑州,本科,1-3年,"C++,OpenGL,分布式经验",浙江慧博,20-99人,"五险一金,团建聚餐,通讯补贴,带薪年假",0,8000,12000
嵌入式软件开发工程师,郑州,本科,5-10年,"C++,Linux开发,部署经验,嵌入式,卫星定位",威科姆科技,500-999人,"定期体检,节日福利,通讯补贴,员工公寓,零食下午茶,餐补,五险一金,带薪年假,股票期权",0,10000,15000
C++开发工程师,郑州,本科,3-5年,"C++服务端开发经验,C++,计算机相关专业,halcon",郑州琦升,20-99人,"节假日加班费,工龄奖,底薪加提成,股票期权,团建聚餐,带薪年假,员工旅游,保底工资,免费班车,住房补贴,宿舍有空调,五险一金,年终奖,包住,全勤奖,绩效奖金,意外险,加班补助,餐补,夜班补助",0,12000,18000
C/C++软件开发工程师,郑州,本科,1-3年,"C++,C,QT",PARASOFT,20-99人,"节日福利,定期体检,员工旅游,补充医疗保险,年终奖,带薪年假,五险一金,13薪",0,7000,12000
C++开发工程师,郑州,本科,1-3年,"C++,计算机相关专业,Linux开发,部署经验,Qt项目开发经验",信大壹密,100-499人,"节日福利,通讯补贴,股票期权,定期体检,年终奖,五险一金,员工旅游,补充医疗保险,交通补助,带薪年假,餐补,13薪",0,10000,15000
C++游戏开发工程师,郑州,中专/中技,3-5年,游戏,兵龙网络,20-99人,无,0,10000,15000
C++软件开发,郑州,大专,1-3年,"C++,MySQL,团队管理经验,计算机相关专业",郑州云诚,100-499人,"员工旅游,团建聚餐,年终奖,带薪年假,加班补助,节日福利,定期体检,股票期权,补充医疗保险",0,7000,8000
系统开发工程师,郑州,本科,1-3年,"C++,C,QT",郑州鸿富锦精密电子,,"五险一金,加班补助,定期体检,带薪年假,年终奖,免费班车,14薪",0,8000,9000
LINUX内核研发工程师,郑州,大专,3-5年,"C,Python,Linux开发,部署经验,内核开发,性能调优",北京长扬软件有限公司,20-99人,"绩效奖金,通讯补贴,节日福利,五险一金,餐补,定期体检,带薪年假,补充医疗保险,13薪",0,10000,15000
C/C++软件开发,郑州,本科,3-5年,"C++,Java,Python,C++服务端开发经验",河南静观其变信息科技,20-99人,无,0,12000,24000
MATTER应用工程师,郑州,本科,3-5年,"C++,QT,TCP,IP",UIOT超级智慧家,500-999人,"股票期权,五险一金,加班补助,定期体检,带薪年假,通讯补贴,年终奖,节日福利,员工旅游,餐补,不定时奖金,14薪",0,13000,20000
C＋＋开发工程师,郑州,本科,3-5年,C++,河南思维,500-999人,"带薪年假,节日福利,股票期权,补充医疗保险,定期体检,五险一金,年终奖",0,10000,15000
C++开发工程师,郑州,本科,1-3年,"C++,Qt项目开发经验",电信数智河南分公司,500-999人,"通讯补贴,带薪年假,节日福利,定期体检,五险一金",0,10000,15000
C++开发工程师,郑州,本科,3-5年,C++,第三维度,20-99人,"股票期权,零食下午茶,定期体检,补充医疗保险,带薪年假,五险一金,员工旅游,节日福利,年终奖,13薪",0,10000,15000
软件工程师,武汉,大专,1-3年,"C++,C++服务端开发经验,Qt项目开发经验",武汉金运互动传媒......,100-499人,"五险一金,免费班车,餐补,加班补助",0,8000,12000
QT软件开发工程师,武汉,本科,3-5年,"C++,Qt项目开发经验",上海瀚正,100-499人,"年终奖,员工旅游,交通补助,加班补助,五险一金,餐补,通讯补贴",0,8000,13000
软件后端开发工程师,武汉,本科,1-3年,"C++,C语言,C语言开发经验,计算机相关专业,Python",明捷科技,20-99人,"年终奖,全勤奖,五险一金,周末双休,员工旅游,节日福利,带薪年假,加班补助,14薪",0,10000,15000
软件开发工程师,武汉,本科,经验不限,"Java,C++,Shell,微服务经验,MySQL,MFC",华为,10000人以上,"定期体检,餐补,员工旅游,加班补助,节日福利,零食下午茶,年终奖,五险一金,股票期权,补充医疗保险",0,13000,26000
C++开发工程师,武汉,本科,3-5年,"音视频经验,C++,MFC,音视频相关开发经验",东土华盛,500-999人,"餐补,生日福利,股票期权,通讯补贴,加班补助,五险一金,交通补助,定期体检,意外险,免费班车,节日福利,团建聚餐",0,11000,22000
开发工程师,武汉,本科,经验不限,"Unix,Python,Linux,嵌入式技术",宝牧科技,20-99人,"定期体检,节日福利,零食下午茶,带薪年假,五险一金",0,10000,15000
C/C++开发工程师,武汉,本科,经验不限,"C++,C,QT",西安华为,10000人以上,"节日福利,补充医疗保险,年终奖,加班补助,员工旅游,五险一金,定期体检,股票期权,14薪",0,13000,26000
QT软件工程师,武汉,本科,1-3年,QT,和视光声,20-99人,"弹性工作,零食下午茶,餐补,股票期权,年终奖,五险一金,13薪",0,10000,15000
高级C++开发工程师,武汉,本科,3-5年,"C++,C,Python,Redis,机器学习,深度学习",传神语联网,500-999人,"节日福利,电脑补贴,五险一金,通讯补贴,带薪年假,加班补助,定期体检,补充商业保险",0,12000,24000
C++开发工程师,武汉,本科,3-5年,"C++,Qt项目开发经验",武汉奥特康,20-99人,"年终奖,绩效奖金,节日福利,五险一金,带薪年假,13薪",0,12000,18000
高级LINUX研发工程师,武汉,大专,5-10年,"C++,QT,Linux开发,部署经验,图形开发经验",武汉卡比特,100-499人,"交通补助,通讯补贴,免费班车,五险一金,股票期权,节日福利,定期体检,员工旅游,补充医疗保险,年终奖,带薪年假,13薪",0,11000,20000
